SMILES,diff
c12c(C(N(C)C(=O)N1C)=O)n(c(Cl)n2)Cc(cccc3C(F)(F)F)c3,14.93
c1(c2ccccc2)cc(c(cc3OC)cc(c3OC)OC)nc(ccc4c5cccn4)c15,5.14
C(C(OC)=O)(CC(N1c2cccc(C)c2)=O)=C1C,14.47
s1c(N)nnc1SCc2cc(Cl)ccc2Cl,29.87
c1(c2c(sc1NC(Cc(cc3)ccc3OC)=O)CCCC2)C(=O)Nc4cccc(cccc5)c45,11.38
C1(C)(C)Oc(c2O1)ccc(c2)NC(=O)c3ccco3,16.37
c1(C(OCC)=O)c(C)c(sc1N)C(=O)Nc2ccc(cc2OC)OC,5.73
c1(C(=O)Nc2ccccc2O)c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],66.98
C1(C2c3ccc(cc3)OCC)=C(CC(C)(C)CC1=O)Nc(ccc4c5cccn4)c25,6.91
C(C(F)(F)F)(C(F)(F)F)(NC(=O)c1ccc(cc1)F)N2CCCCC2c(cccn3)c3,10.68
n12c(S\C(=C\c(cn(n3)C(CC)=O)c3c4ccc(cc4)F)\C1=O)nc(cc(C)c(C)c5)c25,5.6
c1(C#N)c(c(cc2)ccc2C(C)C)cc(nc1N)C3CC3,7.99
c1(NC(=O)c2c(cccc2OC)OC)sc(c(C)c1C(OCC)=O)C(OCC)=O,10.72
c1(NC(COc2ccccc2[N+](=O)[O-])=O)sc(c3c1C(OC)=O)CCCC3,13.46
n1(c2ccccc2)c(SCC(=O)c3ccc(C)s3)nnc1c4cccc(F)c4,5.02
c(CN(c1ccccc1)C(CCCC(O)=O)=O)(c(C)[nH]c2C(OCC)=O)c2C,6.01
c1(SCc2c(cccc2F)F)sc(c3n1)cccc3,21.01
S1(=O)(=O)c2c(c3N1Cc(nc(N)nc4N5CCCCC5)n4)c(ccc2)ccc3,6.57
N1(CCNC(=O)c2ccnn2C)C(C)(O)C(OC1=O)(C)CC\C=C(\C)/C,18.77
C1(c(cccc2)c2N3C(C)=O)(C(C#N)=C(N)Oc([nH]nc4c5ccc(cc5)F)c14)C3=O,5.629999999999999
N1(\N=C(\C)/C=C/c(cc2)ccc2N(C)C)C(=O)CC(SC1=N)C(=O)Nc(cc3)ccc3C(O)=O,11.33
c1(NC(=O)C(OC)(F)C(F)(F)F)sc(c2c1C#N)CCC2,15.570000000000002
c12c([nH]nc1c3cccs3)OC(N)=C(C#N)C2c(ccc4[N+](=O)[O-])s4,5.31
c1(NC(=O)CCN(CC2)CCO2)cc(on1)C.Cl,11.33
N(C(=O)c(cc1)ccc1C(F)(F)F)C(=O)Nc2cc(on2)C,6.23
C(NCCc(c1c([nH]2)cccc1)c2)(C(F)(F)F)(C(F)(F)F)NC(c3ccccc3)=O,9.98
n(c(NCC)nc(n1)N\N=C\c2ccccc2I)c1NCC.Cl,6.42
N1(CC=C)C(=O)C(N2C1=S)CCC2,6.51
